comment,user_name,date,likes,compound,sentiment,sentimento_manual
Westworld vibe there,@aileenmac1,2024-06-10T21:16:38Z,29,0.0,Neutral,Neutral
"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥",@sowapuss1174,2025-03-02T01:55:53Z,24,0.9864,Positive,Positive
"No boundaries. No shirt, but nice beat.  Nice voice. Beautiful.",@phltns,2025-03-30T12:04:11Z,22,0.9273,Positive,Positive
It’s strange to think about how a few years from now this will be really nostalgic.,@CyberstarChuck,2024-08-01T00:48:07Z,20,-0.2023,Negative,Neutral
"I think it's good to have the courage to sing a country song , a real catchy tune  ❤",@ReginaBecker-m1o,2024-06-17T11:09:01Z,20,0.8834,Positive,Neutral
this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,@pinkmoscato7851,2025-02-04T09:00:37Z,14,0.9958,Positive,Negative
This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,@pinaypie83,2025-02-04T22:21:32Z,11,-0.6588,Negative,Negative
Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,@duaney4948,2024-12-26T02:14:33Z,11,0.7347,Positive,Positive
This song is a vibe idc idc,@MaryyB.,2024-06-11T04:38:57Z,11,0.0,Neutral,Positive
"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑",@sheckz5,2025-01-16T21:11:43Z,9,0.3111,Positive,Positive
Sheeee is such a vibe 🎉🎉🎉🎉❤❤❤❤ go BEYONCE GET IT COUNTRY 🎵🎶 MUSIC,@andrewrivers8776,2024-08-12T16:37:37Z,8,0.981,Positive,Positive
This is the WORST ATTEMPT AT COUNTRY MUSIC! GIRL! Stay in your lane!,@harleycharley8323,2024-05-06T04:22:59Z,8,-0.7723,Negative,Negative
Beyonce is absolutely stunning here. The songs a great catchy pop choon.,@MrJaimilly,2024-12-26T00:49:14Z,7,0.7902,Positive,Positive
"I’ve never been a fan of Beyoncé, but this song can easily get lost in your head, and you can’t shake it. Besides that, I do have to say this.  Experimenting with different genres can help, until you find your voice, all new singers that break out into the music scene do this.  But for Beyoncé who’s been doing R&B, pop and hip hop music for as long as she has to jump ship to country is a big leap. Her voice is a powerhouse in the other genres of music and that’s been her vibe for all of her musical life. It’s great she’s expanding her repertoire and trying her hand at Country, and  Country musicians welcomed her with open arms to the country music  family.  But with her vocals mixing with country music is an absolute long shot. I admit country music isn’t what it used to be, it’s a little more poppy, but there some artist’s that love to go back to the traditional ways of what country music use to be. But in the case of Miss Beyoncé, there are already Country Queens. I’d rather her be in the zone where she has been labeled a queen in her more recognized career.",@ashleye.3131,2024-11-04T10:32:58Z,6,0.973,Positive,Positive
Worst music video in history,@Sinharvest,2024-10-23T02:14:54Z,6,-0.6249,Negative,Negative
Worst music video goes to Beyonce,@stichpena3677,2024-12-16T09:42:52Z,5,-0.6249,Negative,Negative
Hi I'm one of Riley's new emotions.,@alwayswright6782,2024-09-13T22:33:50Z,5,0.0,Neutral,Neutral
"I love this song! Shame on people who think we don't have the freedom or right to sing any damn thing we want, especially with a voice like Beyonce! It's is fun with a great beat...",@heather_5724,2024-05-16T23:26:23Z,5,0.7793,Positive,Positive
"And I'm not saying it isn't a catchy song, but not, IMHO, a country song.",@kellestraw6870,2024-05-22T23:35:49Z,5,0.0,Neutral,Neutral
"I like this song, very catchy.....",@barbarashapiro3776,2025-01-17T14:14:29Z,5,0.3612,Positive,Positive
Is this a joke song making fun of country music or something? This might be the worst song ever recorded,@josephblumenthal1228,2025-02-02T22:10:02Z,4,0.1027,Positive,Negative
Lol. Shes deep into DIDDYS parties,@EishaBlie,2024-10-27T01:21:44Z,4,0.6705,Positive,Negative
"Seriously what is wrong with music nowadays 🙄 remember the times when Michael Jackson was creating mini movies to his songs, every single one was unforgettable. This looks so cringe and boring 😬",@olindawinchester,2025-03-10T14:08:01Z,4,-0.7624,Negative,Negative
She didnt deserve THE GRAMMY! Who even listens to this album?! Like come on! The fake surprise when they said her name in the grammys UPSET ME and seeing billie eilish crying made most of all of the fans sad! Over all HMHAS had the most listeners and her vocals are great i dont say i hate her but this album deserved for 2024 grammys bot 2025!,@TaraAziz-d4e,2025-02-04T10:34:15Z,4,-0.389,Negative,Negative
This song sucks. Its so boring and generic,@captainnachoz2111,2024-10-17T15:31:48Z,4,-0.624,Negative,Negative
"I truly enjoyed the album and the philosophy behind it. I know every word because it's been on repeat since its release. I would love to see AMERIICAN REQUIEM used as a soundtrack in a film. I have a hot dance routine for Bodyguard. I loved being on an emotional roller coaster while listening to this masterpiece. Some of my favorite songs include Levi jeans, Protector, Riverdance, Yaya, Tyrant II Most Wanted, Bodyguard, Blackbird, 16 carriages, and Texas Hold 'Em, not to mention spaghetti. The engineer's sound and her excellent vocals just made everything come together seamlessly.",@Nanaheals,2025-02-09T17:47:56Z,4,0.9808,Positive,Positive
"The most monotonous and repetitive eye candy ever 😂 completely out of sync with the song. I'd expect more dancing and more DANCERS. Such a disappointment, that's not what one imagines while listening to this very well conceived song",@Amira_Phoenix,2025-01-07T11:05:21Z,4,-0.0697,Negative,Negative
Just awful and this is coming from a native Texan.,@StarrLabell,2025-03-15T20:12:02Z,4,-0.4588,Negative,Negative
Probably one of the worst songs I have ever heard in my whole life,@IdiocySaysWhat,2025-02-09T04:30:28Z,4,-0.6249,Negative,Negative
Awful,@christinesause3008,2025-02-04T01:44:06Z,3,-0.4588,Negative,Negative
Awful... 😢,@RockWomble-b1r,2025-02-03T19:53:42Z,3,-0.7269,Negative,Negative
"So bad... (Not being sarcastic, or saying she's ""Bad"". It's just awful.)",@TheTyberZann,2024-06-03T22:23:51Z,3,-0.8609,Negative,Negative
The vibe is immaculate ✨️,@carolinewanjiru6847,2025-03-26T22:45:07Z,3,0.0,Neutral,Positive
"Gotta be the very worst song I’ve ever heard, right behind WAP.",@RaptorDaddy2,2025-02-06T03:42:23Z,3,-0.659,Negative,Negative
Just an awful song lol,@Daisyofourlives,2025-05-03T00:59:06Z,3,-0.0516,Negative,Negative
I don't care how much backlash I get but you can't make a country song with cuss words in it. Sorry Beyonce but that's not how country rolls. Also this in my opinion is worst song I ever heard from her. No hate just stay in your lane (btw the way before you say this is racist im black)  I like country the way is no cussing. You can't call it a country song if there's cussing in it. If you look at all the country songs there's not one cuss word in them. Stay with the hip hop genre.,@Oboroshirakumo342,2025-03-06T19:38:21Z,3,-0.874,Negative,Negative
This is by far the worst video I have ever seen. And the song isn't far behind it.,@hollycraig2648,2025-05-21T09:24:09Z,3,-0.6249,Negative,Negative
Beyonce you are the worst singer 😂,@frustrated959,2024-10-20T10:04:30Z,3,-0.296,Negative,Negative
Beyonce knows nothing of Texas or country she's just a good vocalist from the Streets,@trhoades2063,2024-05-06T02:03:53Z,3,0.4404,Positive,Negative
God awful,@dono64,2024-08-19T16:06:31Z,3,-0.2263,Negative,Negative
This is disgusting. Her video is vile. Her voice is awful combined with country style. It sounds like a joke and she actually won? What an absolute disgrace and an insult to real country artists. And on top of all that she is walking around with a stupid blonde wig.,@leahale,2025-02-04T10:36:01Z,3,-0.9042,Negative,Negative
This is such a rubbish track. Awful.,@rizvaldo7209,2025-04-05T11:59:27Z,3,-0.4588,Negative,Negative
Holy hell this is worst thing since her last album🤮🤮🤮🤮,@downcoalx5193,2025-02-06T20:48:26Z,3,-0.8658,Negative,Negative
"Eeeewww how we all question their lyrics, will music ever survive, who wants to b that pretty😂😂😂❤❤❤",@differentgravydifferentgra7852,2025-03-18T22:40:28Z,3,0.9764,Positive,Negative
"Worst album, can’t believe this got chosen over billie, WILD",@Glamour_1001,2025-02-11T11:03:52Z,3,-0.6249,Negative,Negative
I think this song is great! It's definitely catchy.😊,@jessicasalkeld1521,2024-08-26T21:21:43Z,3,0.92,Positive,Negative
I came here thinking I was going to hear country music. I was awfully wrong,@jacobroxberryflyfishing5155,2024-06-02T17:19:43Z,3,-0.5256,Negative,Negative
This isn’t a bad song but it’s not country. It’s more pop with Country vibes.,@kayj9930,2024-12-06T16:44:01Z,3,-0.3071,Negative,Neutral
This is the worst country song by a non-country artist EVER.,@nevilledriggers1903,2024-09-29T19:15:31Z,3,-0.6249,Negative,Negative
Worst crap i ever heard. Tell the truth people.  The truth will set you free !!!!! Lmao😂😂😂😂😂,@DarylRagland-ds1op,2025-01-16T22:51:21Z,2,0.9626,Positive,Neutral
How TF did this shit song beat the masterpiece that Chris Stapleton played with Cold,@abnwil3873,2025-08-04T20:42:23Z,2,0.3071,Positive,Negative
"Sounds like she wrote country lyrics and decided to imitate bruno mars with her hoooooo's, She a good singer, but I gotta admit this is bad",@Nyctotheo,2025-02-03T20:34:24Z,2,-0.2144,Negative,Positive
Catchy. It Grew on me lol,@RyanBeaton-s8h,2025-05-06T06:55:05Z,2,0.4215,Positive,Positive
One of the worst mv i have ever watched lol,@Tobs1988,2024-07-26T13:28:17Z,2,-0.3182,Negative,Positive
This song is the worst country song I've ever heard,@Ram_irez,2025-02-09T03:43:33Z,2,-0.6249,Negative,Negative
this isn’t country & how she won the country music award is mind boggling.. oh wait it’s hush money type of vibe lol she part of the diddy shiit,@beautifuldisaster139,2025-02-04T14:20:14Z,2,0.875,Positive,Positive
How bad were the other country songs that this garbage beat?,@danamcardle1403,2025-02-12T15:49:35Z,2,-0.5423,Negative,Neutral
Worst song in history.  I am happy the hype died down fast cause it was so annoying to constantly hear it at the radio.,@madalinaf3025,2024-08-09T20:05:00Z,2,-0.8172,Negative,Negative
I am loving the inclusent of diverse genre,@angelaerickson11,2024-07-08T13:08:26Z,2,0.5994,Positive,Negative
"monotonous, boring",@teresakaczmarek3855,2024-12-10T19:10:10Z,2,-0.3182,Negative,Negative
This is soo different 😮❤🎉maintaining her soulfulness too still😢,@MalliemeetsLilear,2024-10-18T01:20:07Z,2,0.5859,Positive,Negative
Adding an acoustic guitar doesnt make it country. This is trash for sure,@jesseloera5916,2024-06-18T13:15:58Z,2,0.3182,Positive,Negative
"This ain't Texas is nothing like that Franklin theme song, so you people who are claiming that must be tone deaf...see a doctor!",@edification567,2024-10-23T19:26:16Z,2,-0.3404,Negative,Negative
No melody....nothing,@prashantvidhu,2025-02-09T04:50:23Z,2,-0.296,Negative,Negative
Oh my gawd your who made this song beoncay made this song no wonder why I hate her I hated this song it’s like the worst song on the radio,@burnmyboredom9968,2025-02-04T20:10:02Z,2,-0.9136,Negative,Neutral
"Great beat, singing & lyrics.",@CynthiaAMartz,2025-03-25T19:50:29Z,2,0.6249,Positive,Negative
Literally the worst video and worst song ever from Beyoncé. She should’ve never won the award for best country music😅 the award should’ve gone to chris stapleton🎉,@allygascon3209,2025-07-21T03:45:53Z,2,-0.2842,Negative,Negative
Hahaha  That's awful.,@michellejohnson9202,2025-02-13T16:35:37Z,2,0.1531,Positive,Neutral
so annoying song,@saramakhlouf4342,2024-06-18T09:24:32Z,2,-0.4576,Negative,Negative
"Listen guys there are real country singers who shoulda won not her. But don’t go lying saying this shit ISNT a bop lmao it’s a good song has a good vibe and IS a country song in reality, and honestly? This is one of her best songs… unlike her old music really",@KenzArionus,2025-02-06T17:48:11Z,2,0.7295,Positive,Negative
Worst album ever wtf,@AbMendez-m2v,2025-02-03T05:01:19Z,2,-0.836,Negative,Negative
Seriously worst video ever.,@kristacassaraford5985,2024-05-17T19:20:04Z,2,-0.7003,Negative,Negative
this is one of the worst and cringiest songs ever,@m4ml4z54,2025-06-05T18:16:25Z,2,-0.6249,Negative,Negative
"Could possibly be the worst song ever written. Seriously, all hype and zero substance",@davidsco27,2024-12-27T20:40:17Z,2,-0.7003,Negative,Negative
Worst album,@ItsLena.lanchuk,2025-02-04T19:27:01Z,2,-0.6249,Negative,Negative
"I'm just listening to this song for the first time and I honestly don't see the fuss. I place it in the Country Pop category right along with Shania Twain music.  It's not that deep for the controversy.  Did she deserve a Grammys?  That's always debatable and possibly not but hey, we don't get a vote in it - I never pay attention to it anyway.  The video and outfit could have been better though.",@poppygoldensun,2025-02-13T22:25:21Z,2,0.7426,Positive,Negative
One of the worst songs I've ever listened in my whole life,@MrJohnnyPT,2024-05-14T01:50:18Z,2,-0.6249,Negative,Negative
I haven’t liked country music since the early 2000’s and this video gives me all the more reason to continue my dislike. This is the worst video I’ve ever seen.  Disrespectful and disgusting!,@VeronicaSessions-je4si,2024-12-13T12:40:49Z,2,-0.8221,Negative,Negative
Sounds awful. No dynamic range at all. Loudness war has hit another peak.,@SecuredMinds,2025-01-24T17:28:02Z,2,-0.8436,Negative,Negative
THIS won a Grammy? Awful.,@cryhavoc124,2025-02-06T04:05:05Z,2,0.1779,Positive,Negative
This is the worst shit I’ve ever heard Beyoncé’s a muppet,@darah161,2025-04-01T09:10:15Z,2,-0.8271,Negative,Negative
Worst song ever ever ever,@bcollins69,2025-04-16T00:47:14Z,2,-0.6249,Negative,Negative
This is by far one of the worst songs ever created….,@battery781,2024-06-01T11:10:02Z,2,-0.6249,Negative,Negative
Listen to lyrics carefully. Tornado in the basement. Whose basement? Diddy's?,@makwenamphaga1407,2025-01-01T09:14:35Z,2,0.2168,Positive,Negative
One of the worst songs i have ever heard,@doffygaming7,2024-07-30T13:51:02Z,2,-0.6249,Negative,Negative
This so called song has no chorus. It feels like an unfinished demo.,@tittylips12,2025-05-27T07:08:21Z,2,0.0772,Positive,Negative
Those lyrics are not country at all. Its just the twangy stringed instruments.,@MrHewilson2,2025-02-03T17:40:19Z,2,0.0,Neutral,Negative
"The song is okay (C-) but I would not  play it again, or pay for it.. This song and video feels trashy and angry, not vibrant and powerful. Her music used to be a lot better.",@courtneysolano7995,2024-12-12T08:55:53Z,2,-0.874,Negative,Negative
"nunca vi ni escuché alguien justificando a la compra premios beyonce vocalisima me decepcionas, sobre todo habiendo tantas artistas realmente buenas para apoyar",@alejandrogonzalez1485,2025-01-02T06:17:13Z,2,0.0,Neutral,Negative
This is the worst song I have ever heard,@Nitrofire26,2024-07-14T14:36:04Z,2,-0.6249,Negative,Positive
This is pretty much the worst song ever,@journeymusic,2025-02-04T02:27:10Z,2,-0.2263,Negative,Negative
Backyardigans vibes,@pinkcupcakes8211,2025-04-10T01:14:53Z,2,0.0,Neutral,Negative
Great.   This is all we need.   Country with pop stars singing vibrato horse shit with 47 notes per second garbage music.   Perfect.  😂,@MattEberhard-bt9ph,2025-02-03T20:29:01Z,2,0.7964,Positive,Positive
The tune is catchy. Her costume is trashy.,@patrickdesilva6193,2025-06-11T02:05:41Z,2,0.0,Neutral,Negative
Worst song I've ever heard!!!!!!,@heatherphatabulous9830,2025-06-10T00:08:36Z,2,-0.7405,Negative,Negative
Really inventive video      Not repetitive,@samuellouis3103,2025-02-11T17:59:10Z,2,0.1877,Positive,Negative
the queen of universe,@BonifaceMutunga-p2q,2025-02-26T11:36:50Z,2,0.0,Neutral,Negative
Didn't like Cowboy Carter but this one is a catchy song. I dig it.,@RainSuarez,2024-09-22T18:29:45Z,2,-0.1419,Negative,Negative
Did an AI write these lyrics? They play this song all the time at my workpalce and everyone hates it. Many of them are fans of her too,@AliSakurai,2024-06-03T19:28:34Z,2,-0.128,Negative,Negative
"I'm trying to come up with words. A decade ago I had a weed induced panic attack to ""get me bodied"" I have always liked that song because it has a good beat and I was high as balls. Every other song of hers makes me wish I were deaf. I keep hearing about this song and her country thing. I had to watch the video and listen to this song. They definitely put a lot of effort into the video and the song is so good.im scared for what generations ahead call music.",@abbyratliff7378,2024-05-27T18:48:22Z,2,0.1335,Positive,Positive
It is a very catchy song and her stocking and black undies remind me of dancer Caldina from Magic Knight Rayearth.,@p6mkq,2024-06-04T08:34:46Z,2,0.0,Neutral,Negative
"How did this win a Grammy?🤣🤣this is terrible worst song I’ve heard in my life, no wonder she fell off so hard,she’s just rich that’s the only reason she’s still making songs and buying her listeners🤣no one actually even listens to her no more though,judging by this song I can see why that is",@CriticallyPsycho,2025-02-20T15:05:12Z,2,0.2415,Positive,Negative
"I got to say this is crap. Just cookie cutter stuff. I guess when you serve the devil you'll get a temporary payday on planet Earth, but you end up losing your soul",@gregorydryden7865,2025-02-03T19:59:18Z,2,-0.7845,Negative,Positive
This is going down as one of the worst songs in human history,@shyn0tz89,2024-05-15T11:56:12Z,2,-0.6249,Negative,Negative
This is the worst music that's been released in 10 years.,@timberrrteck,2024-07-19T17:11:43Z,2,-0.6249,Negative,Negative
Another tricking annoying song first was that stupid I.m Single Lady This one is even worse what next for her maybe opera next haha,@wladyslawielki,2024-05-11T15:11:23Z,2,-0.7269,Negative,Negative
"I don't think country people like the video.  They might find it insulting.  I am brutally honest,  sorry. That shit ain't pretty.  😮 😅 But if this video was well known when ""Yellowstone""  was still on it would have been better.",@coreydavis6427,2025-03-04T16:05:38Z,2,0.5083,Positive,Negative
This has to be one of the worst songs of 2024,@FiveStarLobbies,2024-05-21T08:33:37Z,2,-0.6249,Negative,Negative
At 1:45 how come I can hear the lyrics being edited from Sugar to liquor? Listen closely. I know Beyonce says both during the song.,@kylekraus8355,2025-02-07T22:50:44Z,1,0.0,Neutral,Negative
Beyoncé fell off. Worst singer ever. Went from singing about her ass to singing country to stay relevant,@3chogamez944,2024-06-01T19:03:04Z,1,-0.8225,Negative,Negative
This is literally the worst fucking song ever created. Yikes,@DANCING_NANCIES,2024-05-19T17:56:41Z,1,-0.4284,Negative,Negative
This is really annoying but also really catchy please help like I hate it but I keep on listening to it- 😭💀,@CananLongenecker,2024-08-10T01:01:10Z,1,-0.1614,Negative,Negative
"Catchy, but the Grammy's is CRAZY for this garbage album being named best Country Album!?! Although not wholly unexpected in Hollyweird were a man gets nominated for Best Actress",@cmeeder,2025-02-03T03:38:18Z,1,0.8745,Positive,Negative
"Sorry, but way way too overproduced....  and it really doesn't blend the pop/country vibes... shaboozey is doing it right and sounds hungry...Beyonce just seems bored. I'm just not digging it...",@Dan_Winter,2024-06-10T05:28:05Z,1,-0.4215,Negative,Negative
"I never judge without hearing. And this ain't country. This is a bunch of country clichés put into one musical effort. And for those out there that wanna play the race card, it doesn't have anything to do with the color of skin. Shania Twain used to be country and after a few years, her music wasn't worthy of being called country. Nothing wrong with you if you like this composition, but it isn't country music.",@josephatkinson1276,2024-12-28T01:36:01Z,1,0.3662,Positive,Negative
Annoying AF,@alesmajcen3672,2024-11-04T09:37:07Z,1,-0.4019,Negative,Negative
"This video is not creative, repetitive, nude scenes, no awards, forgettable. Beyonce all the time",@secondaccount8755,2024-10-05T10:03:05Z,1,-0.4847,Negative,Negative
"Sad to say this Is in a country album and she won against Chris Stapleton, it’s not a country song, says the same two lines the whole song, shit stupid and if u listen to the lyrics she just throwing shit together nothing about this song makes sense",@jordonrogers5436,2025-02-24T23:42:05Z,1,-0.875,Negative,Negative
Boring song. Please don't change country music to this monotonous stuff too. 😢,@swingman50,2025-02-03T02:11:53Z,1,-0.4767,Negative,Negative
Beyois still fire and I love the old school vibe.,@chungsangliu8120,2025-01-13T21:02:28Z,1,0.4215,Positive,Negative
Not a country fan music but this is a vibe,@olivernohn,2025-03-24T21:20:38Z,1,-0.1232,Negative,Negative
"That’s not a f country music, lyrics are so dumb",@ayeshaguess520,2025-02-15T15:28:15Z,1,-0.6418,Negative,Negative
what a shit garbage of music😢😢trash+trash+trash😢60s 70s 80s best music of all time😊abba😊queen😊led zeppelin😊deep purple😊beatles😊elvis😊eagles😊blondie😊u2😊police😊gun roses😊bon jobi😊nirvana😊and so on...,@ringo-b5o,2025-06-02T17:48:42Z,1,0.997,Positive,Negative
This is awful 😂,@narutoyum1,2025-02-06T01:19:19Z,1,-0.0258,Neutral,Negative
Anyone who calls this country is tone deaf,@AR_119,2024-06-29T00:50:32Z,1,0.0,Neutral,Negative
Unbelievable 😂 this is awful chris Stapleton carrie underwood,@Bob-xh7mh,2025-02-03T13:09:06Z,1,0.1779,Positive,Negative
A pop song with some lyrics about Texas and banjo in the background. Is that what makes it a country music song?,@FozzyinFlorida,2024-08-03T17:26:25Z,1,0.0,Neutral,Negative
"It's a catchy song, but why has the video got to be so over sexualized!",@ceceme,2024-10-19T19:31:01Z,1,0.0,Neutral,Negative
This is your worst album,@manuparabg3217,2024-12-30T18:05:29Z,1,-0.6249,Negative,Negative
"Theres nothing country about this...real country is raw, authentic, imperfect, rooted in values and a lifestyle, her vocals are WAY too polished and produced to be remotely country...its an OK song but has no place in the country genre except as a lame attempt at a cheap imitation.....to put this song in the same category as Toby Keith, Alan Jackson, Miranda Lambert, Reba McEntire is insulting to what makes country unique",@goldecinematics,2025-02-17T19:06:29Z,1,-0.8636,Negative,Negative
I wonder why shes been called the queen? Like wheres the queen vibes,@AlexaMartin-pn6nr,2024-10-01T22:00:44Z,1,0.3612,Positive,Negative
Truly one of the worst songs of all time.,@bugalugs2142,2024-05-13T07:17:11Z,1,-0.296,Negative,Negative
She a perv. Worst song and worst video EVER ! Yuk!,@tinytin777,2024-05-19T03:20:12Z,1,-0.8684,Negative,Negative
"Beyoncé the only one Star listed VOCALIST OF 21 century by VOCALS Experts, great performer, the singer in history Who sing more diferent rithmys, A living Legend ❤",@fernandodiniz6029,2024-11-23T22:27:15Z,1,0.8519,Positive,Positive
Yall are slow she stole the melody from a children’s tv show and put different words in it.,@cierracravey6939,2025-06-26T05:41:47Z,1,0.0,Neutral,Negative
this is awful wth,@Money_Busters,2024-05-06T19:11:34Z,1,-0.7506,Negative,Negative
"Love this, very catchy 🙂",@andyfoxon9106,2024-10-05T02:10:11Z,1,0.8004,Positive,Positive
"Worst video EVER, never get any awards for this thats for sure, lol.  Wow the ending of the song  sucked big time..",@teresabartz1315,2024-06-25T18:21:27Z,1,-0.1729,Negative,Negative
"If country is crap this is a whole other level, it's like the turd lay a turd over another turd and water it down with the most vanilla guitar chords",@Nariz_de_lombrix,2024-05-18T20:50:56Z,1,-0.0258,Neutral,Negative
"they were right, country fans have to be the most conservative, retrogade, annoying, insufferable people to ever exist",@angelica2269,2024-05-19T15:56:55Z,1,-0.4522,Negative,Neutral
OMG that's awful,@JennieJones-ic6ne,2024-05-10T14:05:54Z,1,-0.4588,Negative,Negative
"Awful, terrible song. @Shaunjohnson885 don't reply.",@rosskaske6357,2024-05-29T14:39:03Z,1,-0.7269,Negative,Negative
"Worst video ever. It would be great if there was a video around a countryside, travelling around with a kids and a dog in the car.",@ognyanova95,2024-05-10T10:27:05Z,1,0.0,Neutral,Negative
"So I've listened to this song now forcefully. I will say it is a catchy song. It's like the chicken dance song , a fun song. You could put it in your play list with those fun dance songs like the zorba, nutbush, the hustle, line dance. I bet people secretly dance to it at home hahaha",@dianemason9092,2024-05-24T21:38:24Z,1,0.9485,Positive,Negative
Ask yourself is her lyrics country be truthful and if it's not country please give me a example of what country is The first you have to put your hate and your evil spirit aside now let's get your honest opinion,@termallbonds2534,2025-01-01T20:05:47Z,1,-0.47,Negative,Neutral
Absolutely fucking God awful.  She's a decent singer but this is fucking stupid,@chrisdavenport6585,2024-05-18T14:13:05Z,1,-0.7561,Negative,Negative
Amo você des do tempo da Distney Child ❤❤❤❤😂😂🎉😂🎉😂😂😂😂 1998,@LuizfernandoSabino-d7x,2024-09-01T16:07:12Z,1,0.9915,Positive,Negative
This shit is so ass. How does someone who made this trash song beat any country singer this is just dissapointing,@hydraray8693,2025-02-04T05:45:03Z,1,-0.8122,Negative,Negative
At first I thought it was 'Prodigal Son' by the Rolling Stones.  🤷,@SusanOxford,2025-02-03T21:45:22Z,1,0.0,Neutral,Negative
"As a proud Texan this is the one of the worst happen to us apart Apart From Waco, TX And Uvalde",@JustAFox2183,2024-05-23T13:31:50Z,1,0.3034,Positive,Negative
This song is crap the worst song ever,@dimityconnolly9543,2025-02-09T17:33:36Z,1,-0.7717,Negative,Negative
